"text","created","retweetCount","nome"
"RT @o_antagonista: Teori ignorou o código penal https://t.co/1SGpPZBIlB https://t.co/HndrWW7vGd",2016-06-27,253,"Everaldo"
"RT @BispoRodovalho: Pessoas sábias não gritam, sua força está nos argumentos, não no volume da sua voz. https://t.co/quLCX5h53E",2016-06-27,11,"Everaldo"
"RT @CarlosBolsonaro: À @policiamilitar :meus sinceros agradecimentos por seu trabalho e q um dia sejam respeitados como merecem! https://t.…",2016-06-27,334,"Everaldo"
"RT @FAXINANOPODER_: Procuradora aposentada do DF expõe manipulações na decisão do STF sobre Jair Bolsonaro; veja https://t.co/lJw5A58Lhu @p…",2016-06-26,22,"Everaldo"
"RT @PaesFalcao: @PaesFalcao @DepBolsonaro @BolsonaroSP @CarlosBolsonaro @Everaldo_20 @victoriogalli @taborelli @pscnacional https://t.co/6o…",2016-06-26,2,"Everaldo"
"RT @PSCVG20: @DepBolsonaro @CarlosBolsonaro @CarlosBolsonaro @pscnacional @Everaldo_20 @victoriogalli 30 de Junho 13:30h...Venha https://t.…",2016-06-26,2,"Everaldo"
"RT @BolsonaroSP: Waldir Maranhão acaba de voltar atrás: teremos sessões de votação nesta segunda e terça <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>",2016-06-26,98,"Everaldo"
"RT @BolsonaroSP: Não entendo como racional a posição de defender o desarmamento ou a atual inversão de valores que vivemos.

https://t.co/C…",2016-06-26,194,"Everaldo"
"RT @prjbcarvalho: Ser positivo em uma situação negativa não é ser ingênuo. É a essência da liderança.",2016-06-25,12,"Everaldo"
"RT @simoneniteroi: PT CRIANDO TENDÊNCIA... DEPOIS DA CORRUPÇÃO SISTÊMICA, INCOMPETÊNCIA GENERALIZADA E POPULISMO BARATO... LANÇAM MODA! htt…",2016-06-25,380,"Everaldo"
"RT @PrMichaelAboud: Ontem em Cuiabá foi uma noite muito especial parabéns reinaldogmorais #segredosdepaiparafilho… https://t.co/7rEvQQ9vds",2016-06-25,2,"Everaldo"
"RT @Jairomanhaes: Nesse sábado...
.

Será um tempo precioso de enriquecimento no conhecimento, para cumprir com… https://t.co/LWtaphWpDs",2016-06-25,1,"Everaldo"
"RT @MichelTemer: (AI) Confira como foi a #SemanaDoPlanalto (20 a 24 de junho). Assista
https://t.co/plLdoGwFUw",2016-06-25,98,"Everaldo"
"RT @BolsonaroSP: ""Falavam"" que a UK não sairia da UE; ""falavam"" que Trump não seria candidato; qual será a próxima da nossa corroída impren…",2016-06-25,206,"Everaldo"
"RT @Francischini_: Pimenta nos Olhos dos outros é Refresco, né Dona GLEISI??? https://t.co/ur9cI86T8W",2016-06-25,451,"Everaldo"
